,cluster_R,cluster_G,cluster_B,color
8703,155,154,154,
8704,47,45,48,
8705,98,96,98,
8706,143,143,146,
8707,205,203,204,
8708,237,137,133,
8709,208,209,209,
8710,188,200,211,
8711,124,126,137,
8712,112,108,106,
8713,100,97,99,
8714,79,77,78,
8715,169,179,191,
8716,90,88,90,
8717,179,138,105,
8718,50,49,49,
8719,206,205,206,
8720,142,140,140,
8721,132,131,131,
8722,207,199,194,
8723,28,26,25,
8724,210,206,192,
8725,55,50,48,
8726,79,113,149,
8727,198,151,20,
8728,101,136,169,
8729,83,71,49,
8730,208,208,208,
8731,49,49,49,
8732,118,118,118,
8733,205,203,201,
8734,204,189,158,
8735,192,192,199,
8736,217,219,215,
8737,162,105,45,
8738,30,29,35,
8739,70,69,76,
8740,80,79,84,
8741,92,91,96,
8742,225,223,229,
8743,39,45,63,
8744,116,24,27,
8745,209,210,211,
8746,248,249,247,
8747,217,216,216,
8748,158,152,199,
8749,229,183,183,
8750,181,177,204,
8751,129,123,187,
8752,143,137,202,
8753,212,213,215,
8754,246,112,140,
8755,154,153,156,
8756,37,34,38,
8757,127,127,130,
8758,227,224,210,
8759,208,205,199,
8760,100,114,130,
8761,148,143,140,
8762,213,177,157,
8763,222,216,208,
8764,170,145,75,
8765,188,177,175,
8766,29,26,24,
8767,110,109,108,
8768,192,191,189,
8769,217,217,214,
8770,132,130,129,
8771,55,58,60,
8772,155,153,148,
8773,200,199,194,
8774,58,57,58,
8775,184,179,145,
8776,129,133,137,
8777,237,237,239,
8778,195,209,228,
8779,166,190,219,
8780,34,36,38,
8781,238,236,236,
8782,81,83,84,
8783,189,203,220,
8784,154,176,203,
8785,196,196,190,
8786,39,48,56,
8787,112,120,122,
8788,151,157,155,
8789,91,98,102,
8790,105,110,113,
8791,99,105,106,
8792,130,65,17,
8793,208,137,50,
8794,188,120,51,
8795,209,208,209,
8796,41,39,40,
8797,16,14,15,
8798,175,165,159,
8799,154,158,165,
8800,40,39,41,
8801,170,155,125,
8802,125,108,79,
8803,82,82,86,
8804,134,118,89,
8805,167,126,105,
8806,45,60,132,
8807,219,207,190,
8808,246,81,37,
8809,222,71,48,
8810,216,217,217,
8811,23,21,22,
8812,98,61,91,
8813,203,72,38,
8814,199,172,85,
8815,160,108,150,
8816,182,224,185,
8817,211,211,207,
8818,35,34,37,
8819,189,189,187,
8820,161,160,157,
8821,182,183,189,
8822,92,93,101,
8823,106,108,110,
8824,209,209,212,
8825,102,103,106,
8826,25,23,24,
8827,153,15,27,
8828,211,209,211,
8829,189,190,180,
8830,112,115,100,
8831,3,134,106,
8832,220,220,221,
8833,219,220,222,
8834,54,62,97,
8835,86,84,82,
8836,220,217,210,
8837,192,155,93,
8838,255,121,132,
8839,210,193,199,
8840,194,153,165,
8841,145,80,94,
8842,194,123,137,
8843,178,132,146,
8844,53,53,48,
8845,193,192,181,
8846,143,142,134,
8847,116,114,108,
8848,36,35,35,
8849,129,126,124,
8850,88,86,85,
8851,175,170,165,
8852,50,48,49,
8853,231,230,226,
8854,174,176,139,
8855,37,36,39,
8856,7,37,50,
8857,230,231,234,
8858,201,207,212,
8859,1,147,115,
8860,0,158,123,
8861,79,59,102,
8862,89,90,93,
8863,61,47,97,
8864,22,22,25,
8865,67,66,67,
8866,217,217,206,
8867,170,164,160,
8868,44,29,30,
8869,233,232,205,
8870,240,224,27,
8871,226,212,20,
8872,165,135,67,
8873,221,222,226,
8874,170,171,172,
8875,203,179,139,
8876,52,49,50,
8877,144,2,35,
8878,98,96,97,
8879,209,209,209,
8880,232,202,194,
8881,195,183,184,
8882,40,37,35,
8883,90,74,64,
8884,94,65,45,
8885,59,42,32,
8886,144,109,69,
8887,138,98,65,
8888,211,201,184,
8889,163,132,84,
8890,68,55,48,
8891,128,110,94,
8892,157,142,125,
8893,181,180,185,
8894,226,187,39,
8895,29,31,35,
8896,155,144,179,
8897,162,181,181,
8898,253,198,93,
8899,194,211,212,
8900,221,236,239,
8901,222,216,199,
8902,31,30,29,
8903,224,131,110,
8904,196,170,128,
8905,152,200,2,
8906,212,201,178,
8907,234,227,205,
8908,239,236,231,
8909,23,22,21,
8910,223,221,216,
8911,94,151,189,
8912,105,162,200,
8913,201,201,204,
8914,119,118,121,
8915,8,8,8,
8916,41,40,42,
8917,214,212,217,
8918,25,26,28,
8919,215,14,0,
8920,190,187,193,
8921,252,35,97,
8922,204,192,194,
8923,182,150,99,
8924,204,194,178,
8925,203,175,123,
8926,63,57,55,
8927,160,159,160,
8928,188,187,187,
8929,51,51,52,
8930,136,136,143,
8931,224,224,231,
8932,217,0,38,
8933,187,0,25,
8934,197,194,202,
8935,90,88,87,
8936,101,99,100,
8937,213,212,217,
8938,183,143,148,
8939,206,207,208,
8940,214,79,16,
8941,203,199,192,
8942,162,45,30,
8943,189,64,41,
8944,179,154,118,
8945,222,225,227,
8946,199,171,132,
8947,232,223,198,
8948,219,200,166,
8949,136,143,134,
8950,17,18,17,
8951,114,107,96,
8952,33,34,33,
8953,227,228,228,
8954,229,112,87,
8955,250,220,187,
8956,41,39,43,
8957,52,92,134,
8958,38,59,91,
8959,189,188,200,
8960,220,219,228,
8961,206,208,210,
8962,200,199,202,
8963,37,36,39,
8964,204,38,33,
8965,190,26,27,
8966,184,20,25,
8967,174,16,24,
8968,176,38,2,
8969,185,189,187,
8970,219,202,217,
8971,14,15,17,
8972,123,128,124,
8973,207,213,225,
8974,108,112,137,
8975,26,29,43,
8976,166,172,189,
8977,41,57,103,
8978,50,52,58,
8979,198,201,209,
8980,31,30,31,
8981,214,158,154,
8982,219,218,222,
8983,154,154,158,
8984,197,197,197,
8985,225,225,225,
8986,36,35,36,
8987,180,40,28,
8988,215,190,189,
8989,79,78,79,
8990,25,26,26,
8991,186,182,194,
8992,23,22,23,
8993,125,162,189,
8994,208,208,208,
8995,112,144,172,
8996,215,189,144,
8997,30,31,31,
8998,226,160,163,
8999,207,206,209,
